cik_str,ticker,title,cik10D
357173,OSBC,OLD SECOND BANCORP INC,0000357173
1534254,CION,CION Investment Corp,0001534254
1878848,IREN,Iris Energy Ltd,0001878848
1010000,RUPRF,RUPERT RESOURCES LTD,0001010000
1796280,ORIC,"Oric Pharmaceuticals, Inc.",0001796280
853180,VSLAX,Invesco Senior Loan Fund,0000853180
1712463,PACK,Ranpak Holdings Corp.,0001712463
1766600,SNDL,SNDL Inc.,0001766600
1141103,CCRN,CROSS COUNTRY HEALTHCARE INC,0001141103
854560,GSBC,"GREAT SOUTHERN BANCORP, INC.",0000854560
80035,PLPC,PREFORMED LINE PRODUCTS CO,0000080035
1806201,LPRO,Open Lending Corp,0001806201
1812477,BITF,Bitfarms Ltd,0001812477
1383441,NIE,Virtus Equity & Convertible Income Fund,0001383441
1338940,PERI,Perion Network Ltd.,0001338940
1488775,CEM,ClearBridge MLP & Midstream Fund Inc.,0001488775
1674930,FLGT,"Fulgent Genetics, Inc.",0001674930
732417,HBIA,HILLS BANCORPORATION,0000732417
1958217,LZM,Lifezone Metals Ltd,0001958217
1057379,HCKT,"HACKETT GROUP, INC.",0001057379
71829,NR,NEWPARK RESOURCES INC,0000071829
1780312,ASTS,"AST SpaceMobile, Inc.",0001780312
1458412,CFB,"CROSSFIRST BANKSHARES, INC.",0001458412
1937653,ZYME,Zymeworks Inc.,0001937653
1823587,SKYH,Sky Harbour Group Corp,0001823587
1933414,MLYS,"Mineralys Therapeutics, Inc.",0001933414
1034665,MHD,"BLACKROCK MUNIHOLDINGS FUND, INC.",0001034665
1066605,HSII,HEIDRICK & STRUGGLES INTERNATIONAL INC,0001066605
1021561,NUS,"NU SKIN ENTERPRISES, INC.",0001021561
1459839,SIBN,"SI-BONE, Inc.",0001459839
43196,GTN,GRAY TELEVISION INC,0000043196
928658,CVLG,"COVENANT LOGISTICS GROUP, INC.",0000928658
807863,MITK,MITEK SYSTEMS INC,0000807863
216851,PEO,"ADAMS NATURAL RESOURCES FUND, INC.",0000216851
1304492,ATEX,Anterix Inc.,0001304492
1837821,ZJYL,Jin Medical International Ltd.,0001837821
1794338,IGIC,International General Insurance Holdings Ltd.,0001794338
1700844,EVOH,EvoAir Holdings Inc.,0001700844
1053988,MUJ,"BLACKROCK MUNIHOLDINGS NEW JERSEY QUALITY FUND, INC.",0001053988
1393726,TIPT,TIPTREE INC.,0001393726
1602584,CCD,Calamos Dynamic Convertible & Income Fund,0001602584
775215,HBT,"HBT Financial, Inc.",0000775215
1840199,WALD,Waldencast plc,0001840199
1631574,WVE,Wave Life Sciences Ltd.,0001631574
1944057,CLCO,COOL Co LTD.,0001944057
1849056,ALCC,AltC Acquisition Corp.,0001849056
1666071,CDLX,"Cardlytics, Inc.",0001666071
1861737,HSAI,Hesai Group,0001861737
1175535,WSR,Whitestone REIT,0001175535
708781,CASS,CASS INFORMATION SYSTEMS INC,0000708781
1872789,EMBC,Embecta Corp.,0001872789
1084869,FLWS,1 800 FLOWERS COM INC,0001084869
1828723,AMPS,"Altus Power, Inc.",0001828723
8063,ATRO,ASTRONICS CORP,0000008063
844059,FRPH,"FRP HOLDINGS, INC.",0000844059
80172,NPK,NATIONAL PRESTO INDUSTRIES INC,0000080172
1842731,SMWB,SIMILARWEB LTD.,0001842731
1562818,BIT,BlackRock Multi-Sector Income Trust,0001562818
1826286,VINP,Vinci Partners Investments Ltd.,0001826286
1042729,MBWM,MERCANTILE BANK CORP,0001042729
1447362,CSTL,CASTLE BIOSCIENCES INC,0001447362
1630472,TRTX,"TPG RE Finance Trust, Inc.",0001630472
876779,MGIC,MAGIC SOFTWARE ENTERPRISES LTD,0000876779
1533615,GMRE,Global Medical REIT Inc.,0001533615
1816590,CMPS,COMPASS Pathways plc,0001816590
912728,FWRD,FORWARD AIR CORP,0000912728
1623526,STOK,"Stoke Therapeutics, Inc.",0001623526
314203,MUX,McEwen Mining Inc.,0000314203
1855129,GHRS,GH Research PLC,0001855129
1496323,IGMS,"IGM Biosciences, Inc.",0001496323
1747068,MCBS,"MetroCity Bankshares, Inc.",0001747068
1340677,SVM,SILVERCORP METALS INC,0001340677
844965,TTI,TETRA TECHNOLOGIES INC,0000844965
1824403,RSVR,"Reservoir Media, Inc.",0001824403
724004,MLAB,MESA LABORATORIES INC /CO/,0000724004
1809122,CVAC,CureVac N.V.,0001809122
1798749,AVTE,"Aerovate Therapeutics, Inc.",0001798749
1750284,OLMA,"Olema Pharmaceuticals, Inc.",0001750284
1819142,SES,SES AI Corp,0001819142
891166,UVE,"UNIVERSAL INSURANCE HOLDINGS, INC.",0000891166
2019103,SLSR,Solaris Resources Inc.,0002019103
72573,MOV,MOVADO GROUP INC,0000072573
1692376,VEL,"Velocity Financial, Inc.",0001692376
1075415,DHC,DIVERSIFIED HEALTHCARE TRUST,0001075415
1894562,PRME,"Prime Medicine, Inc.",0001894562
917100,IFN,"INDIA FUND, INC.",0000917100
1559432,TXO,"TXO Partners, L.P.",0001559432
1368519,NOA,North American Construction Group Ltd.,0001368519
1964504,ARMN,Aris Mining Corp,0001964504
